instance,solver,m_knapsacks,n_items,objective,runtime,status,gap
probT1_0U_R50_T002_M010_N0060_seed05.txt,OR-Tools,10,60,24344.0,60.11949443817139,Feasible,
probT1_0U_R50_T002_M010_N0060_seed06.txt,PuLP,10,60,25164.0,60.167582750320435,Optimal,
probT1_0U_R50_T002_M010_N0060_seed06.txt,OR-Tools,10,60,25488.0,60.12283182144165,Feasible,
probT1_0U_R50_T002_M010_N0060_seed07.txt,PuLP,10,60,23211.0,60.15134263038635,Optimal,
probT1_0U_R50_T002_M010_N0060_seed07.txt,OR-Tools,10,60,22663.0,60.14434289932251,Feasible,
probT1_0U_R50_T002_M010_N0060_seed08.txt,PuLP,10,60,23992.0,60.19146490097046,Optimal,
probT1_0U_R50_T002_M010_N0060_seed08.txt,OR-Tools,10,60,23768.0,60.08395576477051,Feasible,
probT1_0U_R50_T002_M010_N0060_seed09.txt,PuLP,10,60,23890.0,60.279677629470825,Optimal,
probT1_0U_R50_T002_M010_N0060_seed09.txt,OR-Tools,10,60,24237.0,60.14562726020813,Feasible,
probT1_0U_R50_T002_M010_N0060_seed10.txt,PuLP,10,60,26782.0,60.34272241592407,Optimal,
probT1_0U_R50_T002_M010_N0060_seed10.txt,OR-Tools,10,60,26854.0,60.09203886985779,Feasible,
probT1_0U_R50_T002_M020_N0020_seed01.txt,PuLP,20,20,7613.0,0.06182980537414551,Optimal,
probT1_0U_R50_T002_M020_N0020_seed01.txt,OR-Tools,20,20,7613.0,0.020991086959838867,Optimal,
probT1_0U_R50_T002_M020_N0020_seed02.txt,PuLP,20,20,5324.0,0.05840444564819336,Optimal,
probT1_0U_R50_T002_M020_N0020_seed02.txt,OR-Tools,20,20,5324.0,0.015951871871948242,Optimal,
probT1_0U_R50_T002_M020_N0020_seed03.txt,PuLP,20,20,3300.0,0.05348706245422363,Optimal,
probT1_0U_R50_T002_M020_N0020_seed03.txt,OR-Tools,20,20,3300.0,0.011234283447265625,Optimal,
probT1_0U_R50_T002_M020_N0020_seed04.txt,PuLP,20,20,4104.0,0.049701690673828125,Optimal,
probT1_0U_R50_T002_M020_N0020_seed04.txt,OR-Tools,20,20,4104.0,0.01277303695678711,Optimal,
probT1_0U_R50_T002_M020_N0020_seed05.txt,PuLP,20,20,4045.0,0.0519869327545166,Optimal,
probT1_0U_R50_T002_M020_N0020_seed05.txt,OR-Tools,20,20,4045.0,0.014772415161132812,Optimal,
