solver,mean_runtime,median_runtime,std_runtime,mean_objective,median_objective,mean_gap,median_gap,mean_relative_gap,optimal_rate,timeout_rate
OR-Tools,8.10201076666514,0.08605110645294185,30.58830668751916,9339.08888888889,7619.5,,,0.0,1.0,0.0
PuLP,6.735532082451714,0.17032718658447266,27.249768731064158,9339.08888888889,7619.5,,,0.0,1.0,0.0
