instance,solver,n_nodes,objective,runtime,status,gap
att48-tsp.txt,PuLP,48,35931.19832529162,296.0542492866516,Optimal,
att48-tsp.txt,OR-Tools,48,44066.88401167519,296.3456883430481,Feasible,
berlin52-tsp.txt,PuLP,52,7544.365901904089,66.43575930595398,Optimal,
berlin52-tsp.txt,OR-Tools,52,7544.662211251631,300.07241773605347,Feasible,
burma14-tsp.txt,PuLP,14,30.878503892587997,2.00862979888916,Optimal,
burma14-tsp.txt,OR-Tools,14,30.878503892587997,2.8381152153015137,Optimal,
eil51-tsp.txt,PuLP,51,433.93271708141214,295.25452423095703,Optimal,
eil51-tsp.txt,OR-Tools,51,468.7388267098799,295.1240074634552,Feasible,
eil76-tsp.txt,PuLP,76,550.6233261897271,300.24122285842896,Optimal,
eil76-tsp.txt,OR-Tools,76,561.9470227817831,300.0450747013092,Feasible,
gr96-tsp.txt,PuLP,96,554.5687168907509,300.2286055088043,Optimal,
gr96-tsp.txt,OR-Tools,96,530.4773351254315,300.0615096092224,Feasible,
kroA100-tsp.txt,PuLP,100,40488.15667927481,300.26877546310425,Optimal,
kroA100-tsp.txt,OR-Tools,100,24838.55936335434,300.0538372993469,Feasible,
kroB100-tsp.txt,PuLP,100,32471.669395572288,300.241019487381,Optimal,
kroB100-tsp.txt,OR-Tools,100,26503.30028540914,300.0910532474518,Feasible,
kroC100-tsp.txt,PuLP,100,25649.43934966317,300.26521921157837,Optimal,
kroC100-tsp.txt,OR-Tools,100,30590.619103661626,300.0754382610321,Feasible,
kroD100-tsp.txt,PuLP,100,33291.2604210688,300.30398774147034,Optimal,
kroD100-tsp.txt,OR-Tools,100,26736.791342525863,300.1406533718109,Feasible,
kroE100-tsp.txt,PuLP,100,26598.138295072386,300.26524567604065,Optimal,
kroE100-tsp.txt,OR-Tools,100,27307.695465815108,300.0561125278473,Feasible,
pr76-tsp.txt,PuLP,76,114143.17986857618,300.16944766044617,Optimal,
pr76-tsp.txt,OR-Tools,76,118255.16898874275,300.0273058414459,Feasible,
rat99-tsp.txt,PuLP,99,1251.3605218584196,300.30442810058594,Optimal,
rat99-tsp.txt,OR-Tools,99,1460.8478176818626,300.03532433509827,Feasible,
st70-tsp.txt,PuLP,70,809.8392006612598,300.15872836112976,Optimal,
st70-tsp.txt,OR-Tools,70,717.5895441926666,300.0914239883423,Feasible,
ulysses16-tsp.txt,PuLP,16,73.98761804517501,19.617745876312256,Optimal,
ulysses16-tsp.txt,OR-Tools,16,73.98761804517501,14.902107954025269,Optimal,
ulysses22-tsp.txt,PuLP,22,75.6524937654576,300.17923069000244,Optimal,
ulysses22-tsp.txt,OR-Tools,22,75.54319168563009,300.00220012664795,Feasible,
wc-instance-30.txt,PuLP,30,384.1340540897831,299.5330858230591,Optimal,
wc-instance-30.txt,OR-Tools,30,415.1565425855806,299.66692447662354,Feasible,
wc-instance-62.txt,PuLP,62,1990.182811789792,300.22774600982666,Optimal,
wc-instance-62.txt,OR-Tools,62,2343.1589258094536,300.12410855293274,Feasible,
