solver,mean_runtime,median_runtime,std_runtime,mean_objective,median_objective,mean_gap,median_gap,mean_relative_gap,optimal_rate,timeout_rate
OR-Tools,267.2085168361664,300.04945600032806,94.01759724510916,17362.333672274763,1902.0033717456581,,,0.051444738162268494,0.1111111111111111,0.0
PuLP,254.54209172725677,300.20348834991455,104.26458001845205,17904.03156670487,1620.7716668241058,,,0.048339736116145726,1.0,0.0
