solver,mean_runtime,median_runtime,std_runtime,mean_objective,median_objective,mean_gap,median_gap,mean_relative_gap,optimal_rate,timeout_rate
OR-Tools,0.09246932892572308,0.0394566059112548,0.12537292805103797,71370.23809523809,18051.0,0.9523809523809523,0.0,6.055865427488624e-06,0.8095238095238095,0.0
PuLP,0.20529760633196145,0.1191215515136718,0.2163697887336575,71371.19047619047,18051.0,0.0,0.0,0.0,1.0,0.0
